ブランド,モデル,e-bike,ステータス,取扱店舗,住所,種別,サイズ,料金_3時間,料金_1日,料金_2日間,料金_3日間,料金_7日間,料金_14日間,料金_30日間,備考
TREK,FX3,,貸出可能,RINCLE 高松空港通り店 / WAVE BIKES 高松店,香川県高松市三名町670-3,クロスバイク,S,3300,4400,5500,8250,15400,24200,38500,
TREK,Madone SL5,,貸出可能,RINCLE 高松空港通り店 / WAVE BIKES 高松店,香川県高松市三名町670-3,ロードバイク,M,4950,7700,13200,17600,29700,49500,71500,
TREK,Marlin7,,貸出可能,RINCLE 高松空港通り店 / WAVE BIKES 高松店,香川県高松市三名町670-3,マウンテンバイク,M,3850,6600,8800,13200,22000,30800,44000,
TREK,FX3,,メンテナンス中,RINCLE 高松空港通り店 / WAVE BIKES 高松店,香川県高松市三名町670-3,クロスバイク,M,3300,4400,5500,8250,15400,24200,38500,
