ブランド,モデル,e-bike,ステータス,取扱店舗,住所,種別,サイズ,料金_3時間,料金_1日,料金_2日間,料金_3日間,料金_7日間,料金_14日間,料金_30日間,備考
TREK,LEXA SL,,貸出可能,RINCLE 仙台大町西公園駅店/BICIAMORE 仙台店,宮城県仙台市青葉区大町2-3-22,ロードバイク,S（154cm~160cm）,3850,5500,8800,13200,22000,30800,44000,
INTERMAX,RAYS,,貸出可能,RINCLE 仙台大町西公園駅店/BICIAMORE 仙台店,宮城県仙台市青葉区大町2-3-22,ロードバイク,M（167cm~173cm）,3850,5500,8800,13200,22000,30800,44000,
