table,field_name,field_key,reads,writes,searches,unused,contexts,ambiguity
reservation,shop,shop_custom_shop,199,3,39,,api:bulk_update_bicyle; api:cancel_reservation; api:create_reservation_option; api:create_reserve_and_detail; api:自転車詳細情報の変更; api:自転車詳細情報の変更_copy; elem:  r_shop_option; elem:bicycle; elem:bicycle_item; elem:cart; elem:r_admin_customer_info; elem:r_admin_reservation; elem:r_admin_sales; elem:shop; elem:user_reservation_detail; page:bicycle_detail; page:index; page:search; page:shop_detail; page:user_reservation_list; privacy:Sub_Option; privacy:reservation; privacy:reservation_detail; privacy:sales_record,"キー共有: User, sales_record, shop_holiday, Bicycle, reservation_detail, Price_menu, Sub_Option, notification"
reservation,start_date,____date,111,11,49,,api:cancel_reservation; api:create_reserve_and_detail; elem:  r_shop_option; elem:bicycle; elem:cart; elem:r_admin_customer_info; elem:r_admin_reservation; elem:r_admin_sales; elem:user_reservation; elem:user_reservation_detail; page:bicycle_detail; page:legal; page:mypage; page:shop_detail; page:user_reservation_list,キー共有: reservation_detail
reservation,status,______option________,41,18,43,,api:bTfex; api:cancel_reservation; api:create_reserve_and_detail; elem:  r_shop_option; elem:bicycle; elem:cart; elem:r_admin_customer_info; elem:r_admin_reservation; elem:r_admin_sales; elem:user_reservation; elem:user_reservation_detail; page:bicycle_detail; page:legal; page:mypage; page:user_reservation_list; privacy:reservation,
reservation,token,token_text,0,0,0,未使用,,
reservation,total_price,_____number,49,16,0,,api:cancel_reservation; elem:cart; elem:r_admin_customer_info; elem:r_admin_reservation; elem:r_admin_sales; page:legal; page:mypage,"キー共有: rider_info, reservation_detail"
reservation_detail,basic_price,____1_number,74,43,3,,api:bUoQL0; api:bUoQT0; api:bUoQe0; api:bUoQp0; api:bUoQx0; api:bUoRI0; api:bUoRT0; api:cancel_reservation; api:create_reserve_and_detail; elem:cart; elem:r_admin_customer_info; elem:r_admin_reservation; elem:r_admin_sales; elem:user_reservation; elem:user_reservation_detail; page:bicycle_detail; page:legal; page:mypage; page:user_reservation_list,"キー共有: reservation, rider_info"
reservation_detail,bicycle,____custom_bicycle,135,3,11,,api:cancel_reservation; api:create_reserve_and_detail; api:自転車詳細情報の変更; elem:bicycle; elem:cart; elem:r_admin_reservation; elem:r_admin_sales; elem:r_shop_bicycle; elem:user_reservation_detail; page:admin; page:bicycle_detail; page:legal; page:mypage; page:shop_detail; page:user_reservation_list,
reservation_detail,day_before_rental,_______number,35,1,0,,api:bulk_create_shop; api:create_reserve_and_detail; elem:cart; elem:r_admin_reservation; elem:user_reservation_detail; page:legal; page:mypage; page:user_reservation_list,"キー共有: reservation, User"
reservation_detail,price_menu,price_menu_custom_price_menu,12,3,0,,api:create_reserve_and_detail; api:edit_bicycle; api:自転車詳細情報の変更; elem:r_admin_reservation; elem:r_shop_bicycle; page:bicycle_detail; page:legal; page:mypage,"キー共有: Bicycle, reservation_option"
reservation_detail,reservation,_____custom_____,38,9,2,,api:create_reserve_and_detail; api:自転車詳細情報の変更; elem:  r_shop_option; elem:r_admin_reservation; elem:r_admin_sales; elem:r_shop_bicycle; page:bicycle_detail; page:legal; page:mypage; privacy:reservation_detail,
reservation_detail,reservation_option,__________list_custom__________1,119,5,0,,api:bTfex; api:cancel_reservation; api:create_reservation_option; api:create_reserve_and_detail; elem:  r_shop_option; elem:cart; elem:r_admin_reservation; elem:r_admin_sales; elem:user_reservation_detail; page:bicycle_detail; page:legal; page:mypage; page:user_reservation_list,キー共有: reservation
reservation_detail,rider_info,______custom______,148,4,0,,api:cancel_reservation; elem:cart; elem:r_admin_customer_info; elem:r_admin_reservation; elem:r_admin_sales; page:bicycle_detail; page:legal; page:mypage,
reservation_detail,shop,shop_custom_shop,199,3,34,,api:bulk_update_bicyle; api:cancel_reservation; api:create_reservation_option; api:create_reserve_and_detail; api:自転車詳細情報の変更; api:自転車詳細情報の変更_copy; elem:  r_shop_option; elem:bicycle; elem:bicycle_item; elem:cart; elem:r_admin_reservation; elem:r_admin_sales; elem:shop; elem:user_reservation_detail; page:bicycle_detail; page:index; page:search; page:shop_detail; page:user_reservation_list; privacy:Sub_Option; privacy:reservation; privacy:reservation_detail; privacy:sales_record,"キー共有: reservation, User, sales_record, shop_holiday, Bicycle, Price_menu, Sub_Option, notification"
reservation_detail,total_price,____2_number,41,31,0,,api:create_reserve_and_detail; elem:cart; elem:r_admin_reservation; elem:r_admin_sales; elem:user_reservation_detail; page:admin; page:legal; page:mypage; page:user_reservation_list,キー共有: reservation
reservation_option,__price_menu,price_menu_custom_price_menu,12,3,0,,api:create_reserve_and_detail; api:edit_bicycle; api:自転車詳細情報の変更; elem:r_admin_reservation; elem:r_shop_bicycle; page:bicycle_detail; page:legal; page:mypage,"キー共有: Bicycle, reservation_detail"
reservation_option,ex_1day_intax,ex_1day_intax_number,3,1,0,,api:create_reservation_option; elem:r_admin_reservation,
reservation_option,ex_1hour_intax,ex_1hour_intax_number,3,1,0,,api:create_reservation_option; elem:r_admin_reservation,
reservation_option,price,___number,35,40,3,,api:bUoKq0; api:bUoKx0; api:bUoLV0; api:bUoLf0; api:bUoLm0; api:bUoMD0; api:bUoMK0; api:cancel_reservation; api:create_reserve_and_detail; elem:cart; elem:r_admin_customer_info; elem:r_admin_reservation; elem:r_admin_sales; elem:user_reservation_detail; page:legal; page:mypage; page:user_reservation_list,キー共有: rider_info
reservation_option,price_14day_intax,price_14day_intax_number,1,1,0,,api:bUoMD0; api:create_reservation_option,
reservation_option,price_1day_intax,price_1day_intax_number,1,1,0,,api:bUoKx0; api:create_reservation_option,
reservation_option,price_2day_intax,price_2day_intax_number,1,1,0,,api:bUoLV0; api:create_reservation_option,
reservation_option,price_30day_intax,price_30day_intax_number,1,1,0,,api:bUoMK0; api:create_reservation_option,
reservation_option,price_3day_intax,price_3day_intax_number,1,1,0,,api:bUoLf0; api:create_reservation_option,
reservation_option,price_4hour_intax,price_4hour_intax_number,1,1,0,,api:bUoKq0; api:create_reservation_option,
reservation_option,price_7day_intax,price_7day_intax_number,1,1,0,,api:bUoLm0; api:create_reservation_option,
reservation_option,reservation_detail,reservation_detail_custom________1,1,1,1,,api:create_reservation_option; elem:  r_shop_option; page:bicycle_detail,
reservation_option,sub_option,______custom_sub_option,84,3,20,,api:cancel_reservation; api:create_reservation_option; api:自転車詳細情報の変更_copy; elem:  r_shop_option; elem:cart; elem:r_admin_reservation; elem:r_admin_sales; elem:user_reservation_detail; page:bicycle_detail; page:legal; page:mypage; page:user_reservation_list,
reservation_option,tax_ratio,tax_ratio_number,0,1,0,,api:create_reservation_option,
rider_info,__SignUp User,signup_user_boolean,0,0,24,,page:legal; page:mypage,
rider_info,__{delete}電話番号,_____number,49,12,0,,api:cancel_reservation; elem:cart; elem:r_admin_customer_info; elem:r_admin_reservation; elem:r_admin_sales; page:legal; page:mypage,"キー共有: reservation, reservation_detail"
rider_info,address,___text,32,8,3,,api:cancel_reservation; elem:cart; elem:contact; elem:r_admin_contact; elem:r_admin_customer_info; elem:r_admin_reservation; elem:r_admin_sales; page:legal; page:mypage; page:shop_detail,"キー共有: contact_type, contact"
rider_info,birth,_____date,20,5,3,,api:cancel_reservation; elem:cart; elem:r_admin_customer_info; elem:r_admin_reservation; elem:r_admin_sales; page:legal; page:mypage,
rider_info,email,email_text,3,5,0,,elem:cart; elem:r_admin_reservation; elem:r_admin_sales; page:legal; page:mypage,
rider_info,member,member_user,0,0,0,未使用,,
rider_info,name,name_text,269,11,3,,api:bulk_update_bicyle; api:cancel_reservation; api:change_shop_info; api:create_user_info; api:edit_bicycle; api:payjp_webhook_update_talent; elem:  r_shop_option; elem:bicycle_item; elem:cart; elem:r_admin_contact; elem:r_admin_customer_info; elem:r_admin_price; elem:r_admin_reservation; elem:r_admin_sales; elem:r_admin_shop_list; elem:r_shop_bicycle; elem:r_shop_info; elem:search_area; elem:shop; elem:user_reservation_detail; elem:userinfo; page:bicycle_detail; page:legal; page:mypage; page:shop_detail; page:user_reservation_list,"キー共有: shop, User, Bicycle, __Prefecture, Price_menu, Sub_Option"
rider_info,name_kana,name_kana_text,23,6,3,,api:create_user_info; elem:cart; elem:r_admin_customer_info; elem:r_admin_reservation; elem:r_admin_sales; elem:userinfo; page:legal; page:mypage,キー共有: User
rider_info,phone,phone_text_text,50,7,3,,api:cancel_reservation; api:change_shop_info; api:create_user_info; elem:cart; elem:r_admin_customer_info; elem:r_admin_reservation; elem:r_admin_sales; elem:r_shop_info; elem:user_reservation_detail; elem:userinfo; page:legal; page:mypage; page:shop_detail; page:user_reservation_list,キー共有: User
rider_info,postal_code,____1_number,74,43,3,,api:bUoQL0; api:bUoQT0; api:bUoQe0; api:bUoQp0; api:bUoQx0; api:bUoRI0; api:bUoRT0; api:cancel_reservation; api:create_reserve_and_detail; elem:cart; elem:r_admin_customer_info; elem:r_admin_reservation; elem:r_admin_sales; elem:user_reservation; elem:user_reservation_detail; page:bicycle_detail; page:legal; page:mypage; page:user_reservation_list,"キー共有: reservation, reservation_detail"
rider_info,tall,___number,35,12,3,,api:bUoKq0; api:bUoKx0; api:bUoLV0; api:bUoLf0; api:bUoLm0; api:bUoMD0; api:bUoMK0; api:cancel_reservation; api:create_reserve_and_detail; elem:cart; elem:r_admin_customer_info; elem:r_admin_reservation; elem:r_admin_sales; elem:user_reservation_detail; page:legal; page:mypage; page:user_reservation_list,キー共有: reservation_option
rider_info,user,user1_user,18,2,10,,elem:cart,
sales_record,__date,date_date,4,0,16,,elem:  r_shop_option; elem:r_admin_reservation; page:admin_update_calendar; page:bicycle_detail,"キー共有: 自転車例外日, 12_holidays, オプション例外日, 26_holiday_master, __access_log, m_holiday"
sales_record,__shop,shop_user,117,0,2,,page:legal; page:mypage; privacy:notification,"キー共有: Bicycle, __Prefecture, Price_menu, Sub_Option, notification"
sales_record,__年,__number,0,0,0,未使用,,
sales_record,__月,_1_number,0,0,0,未使用,,
sales_record,commission,____number,0,0,0,未使用,,
sales_record,is_claim?,___boolean,0,0,0,未使用,,
sales_record,month,month_date,0,0,0,未使用,,
sales_record,shop,shop_custom_shop,199,3,34,,api:bulk_update_bicyle; api:cancel_reservation; api:create_reservation_option; api:create_reserve_and_detail; api:自転車詳細情報の変更; api:自転車詳細情報の変更_copy; elem:  r_shop_option; elem:bicycle; elem:bicycle_item; elem:cart; elem:r_admin_reservation; elem:r_admin_sales; elem:shop; elem:user_reservation_detail; page:bicycle_detail; page:index; page:search; page:shop_detail; page:user_reservation_list; privacy:Sub_Option; privacy:reservation; privacy:reservation_detail; privacy:sales_record,"キー共有: reservation, User, shop_holiday, Bicycle, reservation_detail, Price_menu, Sub_Option, notification"
sales_record,status,__________option__________,0,0,0,未使用,,
select_prefcture,prefecture,prefecture_option_prefecture,18,3,8,,api:bulk_select_pref; api:change_shop_info; api:delete_shop; elem:bicycle_item; elem:cart; elem:r_admin_shop_list; elem:r_shop_info; elem:search_area; elem:shop; page:bicycle_detail; page:index; page:user_reservation_list,キー共有: shop
select_prefcture,record_count,record_count_number,6,6,0,,api:bulk_select_pref; api:change_shop_info; api:delete_shop; elem:r_admin_shop_list,
shop,access,access_text,2,2,0,,api:bulk_create_shop; api:change_shop_info; elem:r_shop_info; page:shop_detail,
shop,address,address_text,42,3,0,,api:bulk_create_shop; api:bulk_update_bicyle; api:cancel_reservation; api:change_shop_info; api:create_user_info; elem:bicycle_item; elem:cart; elem:r_admin_customer_info; elem:r_shop_bicycle; elem:r_shop_info; elem:shop; elem:userinfo; page:bicycle_detail; page:legal; page:mypage; page:shop_detail,キー共有: User
shop,brand_status,brand_status_option_brand_status,9,4,4,,api:bulk_create_shop; api:create_shop; api:payjp_webhook_update_talent; elem:bicycle; elem:r_admin_reservation; elem:r_admin_shop_list; elem:search_area; elem:shop; page:admin; page:shop_form,
shop,business_address,business_address_text,2,2,0,,api:bulk_create_shop; api:change_shop_info; elem:r_shop_info,キー共有: User
shop,business_hour,business_hour_text,11,2,0,,api:bulk_create_shop; api:cancel_reservation; api:change_shop_info; elem:cart; elem:r_shop_info; elem:shop; page:legal; page:mypage; page:shop_detail,キー共有: User
shop,business_hour_fri,business_hour_fri_date_range,25,2,0,,api:bulk_create_shop; api:make_change_business_hour; elem:cart; elem:r_admin_reservation; elem:r_shop_business_hour; elem:r_shop_calendar; page:bicycle_detail,
shop,business_hour_hol,business_hour_hol_date_range,0,1,0,,api:bulk_create_shop,
shop,business_hour_mon,business_hour_mon_date_range,25,2,0,,api:bulk_create_shop; api:make_change_business_hour; elem:cart; elem:r_admin_reservation; elem:r_shop_business_hour; elem:r_shop_calendar; page:bicycle_detail,
shop,business_hour_sat,business_hour_sat_date_range,25,2,0,,api:bulk_create_shop; api:make_change_business_hour; elem:cart; elem:r_admin_reservation; elem:r_shop_business_hour; elem:r_shop_calendar; page:bicycle_detail,
shop,business_hour_sun,business_hour_sun_date_range,25,2,0,,api:bulk_create_shop; api:make_change_business_hour; elem:cart; elem:r_admin_reservation; elem:r_shop_business_hour; elem:r_shop_calendar; page:bicycle_detail,
shop,business_hour_thu,business_hour_thu_date_range,25,2,0,,api:bulk_create_shop; api:make_change_business_hour; elem:cart; elem:r_admin_reservation; elem:r_shop_business_hour; elem:r_shop_calendar; page:bicycle_detail,
shop,business_hour_tue,business_hour_tue_date_range,25,2,0,,api:bulk_create_shop; api:make_change_business_hour; elem:cart; elem:r_admin_reservation; elem:r_shop_business_hour; elem:r_shop_calendar; page:bicycle_detail,
shop,business_hour_wed,business_hour_wed_date_range,25,2,0,,api:bulk_create_shop; api:make_change_business_hour; elem:cart; elem:r_admin_reservation; elem:r_shop_business_hour; elem:r_shop_calendar; page:bicycle_detail,
shop,business_name,business_name_text,3,2,0,,api:bulk_create_shop; api:cancel_reservation; api:change_shop_info; elem:r_shop_info; page:legal,
shop,business_user,business_user_text,2,2,0,,api:bulk_create_shop; api:change_shop_info; elem:r_shop_info; page:legal,
shop,comment,comment_text,7,3,0,,api:bulk_create_shop; api:change_shop_info; api:edit_bicycle; elem:bicycle_item; elem:r_shop_bicycle; elem:r_shop_info; page:bicycle_detail; page:legal; page:mypage; page:shop_detail,キー共有: Bicycle
shop,contact_mail,contact_mail_text,6,2,0,,api:bulk_create_shop; api:cancel_reservation; api:change_shop_info; elem:r_shop_info; elem:user_reservation_detail; page:legal; page:user_reservation_list,キー共有: User
shop,day_before_rental,day_before_rental_number,8,2,0,,api:bulk_create_shop; api:create_reserve_and_detail; elem:  r_shop_option; elem:cart; elem:r_shop_info; page:bicycle_detail,キー共有: reservation
shop,deleted_at,deleted_at_date,0,2,4,,api:bulk_create_shop; api:delete_shop; elem:bicycle; elem:r_admin_shop_list; elem:search_area; elem:shop,キー共有: Bicycle
shop,image,image_image,21,4,0,,api:bulk_create_shop; api:change_shop_info; elem:r_admin_fv; elem:r_admin_topic; elem:r_shop_info; elem:shop; elem:topic; page:index; page:legal; page:mypage; page:shop_detail,"キー共有: FV, User, Banner"
shop,name,name_text,269,13,3,,api:bulk_create_shop; api:bulk_update_bicyle; api:cancel_reservation; api:change_shop_info; api:create_shop; api:create_user_info; api:edit_bicycle; api:payjp_webhook_update_talent; elem:  r_shop_option; elem:bicycle_item; elem:cart; elem:r_admin_contact; elem:r_admin_customer_info; elem:r_admin_price; elem:r_admin_reservation; elem:r_admin_sales; elem:r_admin_shop_list; elem:r_shop_bicycle; elem:r_shop_info; elem:search_area; elem:shop; elem:user_reservation_detail; elem:userinfo; page:bicycle_detail; page:legal; page:mypage; page:shop_detail; page:user_reservation_list,"キー共有: User, rider_info, Bicycle, __Prefecture, Price_menu, Sub_Option"
shop,onboading_date,onboading_date_date,2,2,0,,api:bulk_create_shop; api:change_shop_info; page:admin,
shop,pay_jp_apply_form_url,pay_jp_apply_form_url_text,2,2,0,,api:bulk_create_shop; api:create_shop; page:shop_form,キー共有: User
shop,pay_on_site,pay_on_site_text,2,2,0,,api:bulk_create_shop; api:change_shop_info; elem:r_shop_info; page:shop_detail,
shop,payment_method,payment_method_list_option______,5,2,0,,api:bulk_create_shop; api:change_shop_info; elem:cart; elem:r_shop_info,
shop,prefecture,prefecture_option_prefecture,18,2,4,,api:bulk_create_shop; api:bulk_select_pref; api:change_shop_info; api:delete_shop; elem:bicycle; elem:bicycle_item; elem:cart; elem:r_admin_shop_list; elem:r_shop_info; elem:search_area; elem:shop; page:bicycle_detail; page:index; page:user_reservation_list,キー共有: select_prefcture
shop,regular_holiday,regular_holiday_list_option___,10,2,2,,api:create_shop; api:make_change_business_hour; elem:r_admin_reservation; elem:r_shop_business_hour; elem:shop; page:bicycle_detail,
shop,regular_holiday_text,regular_holiday_text_list_text,12,2,2,,api:create_shop; api:make_change_business_hour; elem:bicycle; elem:r_admin_reservation; elem:r_shop_bicycle; elem:r_shop_calendar,
shop,shop_holiday,shop_holiday_list_custom________,1,0,0,,elem:cart,
shop,tenant_id,tenant_id_text,5,2,0,,api:bulk_create_shop; api:create_shop; api:delete_shop; elem:r_admin_reservation; elem:r_admin_shop_list,キー共有: User
shop,url,url_text,3,2,0,,api:bulk_create_shop; api:change_shop_info; elem:r_shop_info; page:shop_detail,
shop,user,user_user,19,3,0,,api:bulk_create_shop; api:cancel_reservation; api:change_shop_info; api:create_shop; api:delete_shop; elem:cart; elem:r_admin_shop_list; elem:r_shop_info; elem:user_reservation_detail; page:legal; page:shop_detail; page:user_reservation_list,"キー共有: User, rider_info"
shop_holiday,__end_date,endtime_option_time,8,0,0,,page:legal; page:mypage,キー共有: 20_business_hour
shop_holiday,__start_date,starttime_option_time,12,0,0,,page:legal; page:mypage,キー共有: 20_business_hour
shop_holiday,__レンタル可能な自転車s,__________s_list_custom_bicycle,6,2,34,,page:legal; page:mypage,
shop_holiday,__加盟店,____user,10,0,86,,page:legal; page:mypage,キー共有: 20_business_hour
shop_holiday,__日付,___date,24,0,176,,page:legal; page:mypage,
shop_holiday,end_date,end_date_date,10,2,31,,elem:  r_shop_option; elem:cart; elem:r_admin_reservation; elem:r_shop_calendar; elem:user_reservation_detail; page:bicycle_detail; page:shop_detail; page:user_reservation_list,キー共有: reservation_option
shop_holiday,is_open?,_____option_____op,32,2,21,,elem:r_shop_calendar; elem:shop; page:bicycle_detail; page:legal; page:mypage; page:search; page:shop_detail,キー共有: 20_business_hour
shop_holiday,shop,shop_custom_shop,199,4,53,,api:bulk_update_bicyle; api:cancel_reservation; api:create_reservation_option; api:create_reserve_and_detail; api:自転車詳細情報の変更; api:自転車詳細情報の変更_copy; elem:  r_shop_option; elem:bicycle; elem:bicycle_item; elem:cart; elem:r_admin_reservation; elem:r_admin_sales; elem:r_shop_calendar; elem:shop; elem:user_reservation_detail; page:bicycle_detail; page:index; page:search; page:shop_detail; page:user_reservation_list; privacy:Sub_Option; privacy:reservation; privacy:reservation_detail; privacy:sales_record,"キー共有: reservation, User, sales_record, Bicycle, reservation_detail, Price_menu, Sub_Option, notification"
shop_holiday,start_date,start_date_date,17,2,83,,elem:  r_shop_option; elem:cart; elem:r_admin_reservation; elem:r_shop_calendar; elem:shop; elem:user_reservation_detail; page:bicycle_detail; page:search; page:shop_detail; page:user_reservation_list,キー共有: reservation_option
Sub_Option,__is_archive,is_archive_boolean,0,0,2,,page:legal; page:mypage,キー共有: Bicycle
Sub_Option,__number0,number0_list_custom________,6,0,0,,page:legal; page:mypage,
Sub_Option,__number1,number1_list_custom________,2,0,0,,page:legal; page:mypage,
Sub_Option,__number2,number2_list_custom________,2,0,0,,page:legal; page:mypage,
Sub_Option,__number3,number3_list_custom________,2,0,0,,page:legal; page:mypage,
Sub_Option,__number4,number4_list_custom________,2,0,0,,page:legal; page:mypage,
Sub_Option,__number5,number5_list_custom________,2,0,0,,page:legal; page:mypage,
Sub_Option,__Parent Option,parent_option_custom_option,0,0,0,未使用,,
Sub_Option,__Shop,shop_user,117,0,2,,page:legal; page:mypage; privacy:notification,"キー共有: sales_record, Bicycle, __Prefecture, Price_menu, notification"
Sub_Option,__three weeks price,three_weeks_price_number,0,0,0,未使用,,
Sub_Option,__two weeks price,two_weeks_price_number,0,0,0,未使用,,
Sub_Option,__貸出ステータス,________option____________,9,0,5,,elem:bicycle; elem:r_admin_reservation; elem:r_shop_bicycle; elem:shop; page:legal; page:mypage,キー共有: Bicycle
Sub_Option,__（税抜き）14日間プラン料金,_____14________number,0,0,0,未使用,,
Sub_Option,__（税抜き）1日プラン料金,_____1____number,0,0,0,未使用,,
Sub_Option,__（税抜き）2日間プラン料金,_____1____2_number,0,0,0,未使用,,
Sub_Option,__（税抜き）30日間プラン料金,_____30________number,0,0,0,未使用,,
Sub_Option,__（税抜き）3日間プラン料金,_____1_____number,0,0,0,未使用,,
Sub_Option,__（税抜き）4時間プラン料金,_____1____1_number,0,0,0,未使用,,
Sub_Option,__（税抜き）7日間プラン料金,_____7________number,0,0,0,未使用,,
Sub_Option,__（税抜き）延長1日料金,_______1____number,0,0,0,未使用,,
Sub_Option,__（税抜き）延長1時間料金,_______1_____number,0,0,0,未使用,,
Sub_Option,Bicycles,bicycles_list_custom_bicycle,1,6,4,,api:create_bicycle; api:edit_bicycle; elem:  r_shop_option; elem:r_shop_bicycle; page:bicycle_detail; page:legal; page:mypage,
Sub_Option,deleted_at,daleted_at_date,14,5,5,,api:bulk_create_shop; api:delete_shop; api:send_reset_pass_mail; elem:  r_shop_option; elem:r_admin_customer_info; elem:r_admin_reservation; elem:r_admin_sales; elem:r_admin_shop_list; elem:r_shop_bicycle; page:bicycle_detail; page:shop_detail; privacy:Sub_Option; privacy:User,"キー共有: User, Bicycle"
Sub_Option,description,description_text,1,2,0,,elem:  r_shop_option,
Sub_Option,ex_1day_intax,more_a_day_price_number,13,6,0,,api:create_reservation_option; api:edit_bicycle; api:自転車詳細情報の変更; api:自転車詳細情報の変更_copy; elem:  r_shop_option; elem:r_admin_price; elem:r_admin_reservation; elem:r_shop_bicycle,"キー共有: Bicycle, Price_menu"
Sub_Option,ex_1hour_intax,more_a_hour_price_number,7,3,0,,api:create_reservation_option; api:edit_bicycle; api:自転車詳細情報の変更; api:自転車詳細情報の変更_copy; elem:  r_shop_option; elem:r_admin_reservation; elem:r_shop_bicycle,キー共有: Bicycle
Sub_Option,four weeks price,four_weeks_price_number,0,2,0,,elem:  r_shop_option,"キー共有: Bicycle, Price_menu"
Sub_Option,name,name_text,269,12,5,,api:bulk_update_bicyle; api:cancel_reservation; api:change_shop_info; api:create_user_info; api:edit_bicycle; api:payjp_webhook_update_talent; elem:  r_shop_option; elem:bicycle_item; elem:cart; elem:r_admin_contact; elem:r_admin_customer_info; elem:r_admin_price; elem:r_admin_reservation; elem:r_admin_sales; elem:r_admin_shop_list; elem:r_shop_bicycle; elem:r_shop_info; elem:search_area; elem:shop; elem:user_reservation_detail; elem:userinfo; page:bicycle_detail; page:legal; page:mypage; page:shop_detail; page:user_reservation_list,"キー共有: shop, User, rider_info, Bicycle, __Prefecture, Price_menu"
Sub_Option,price_14day_intax,14________number,20,2,0,,api:create_reservation_option; api:自転車詳細情報の変更_copy; elem:  r_shop_option; page:bicycle_detail; page:legal; page:mypage,
Sub_Option,price_1day_intax,a_day_price_number,518,6,0,,api:bUoQe0; api:create_reservation_option; api:edit_bicycle; api:自転車詳細情報の変更; api:自転車詳細情報の変更_copy; elem:  r_shop_option; elem:bicycle_item; elem:r_admin_contact; elem:r_admin_customer_info; elem:r_admin_price; elem:r_admin_reservation; elem:r_shop_bicycle; page:admin_price_simulation; page:bicycle_detail; page:legal; page:mypage,"キー共有: Bicycle, Price_menu"
Sub_Option,price_2day_intax,a_week_price_number,216,6,0,,api:bUoQx0; api:create_reservation_option; api:edit_bicycle; api:自転車詳細情報の変更; api:自転車詳細情報の変更_copy; elem:  r_shop_option; elem:bicycle_item; elem:r_admin_contact; elem:r_admin_customer_info; elem:r_admin_price; elem:r_admin_reservation; elem:r_shop_bicycle; page:admin_price_simulation; page:bicycle_detail; page:legal; page:mypage,"キー共有: Bicycle, Price_menu"
Sub_Option,price_30day_intax,30________number,20,2,0,,api:create_reservation_option; api:自転車詳細情報の変更_copy; elem:  r_shop_option; page:bicycle_detail; page:legal; page:mypage,
Sub_Option,price_3day_intax,a_month_price_number,395,5,0,,api:bUoRT0; api:create_reservation_option; api:自転車詳細情報の変更; api:自転車詳細情報の変更_copy; elem:  r_shop_option; elem:bicycle_item; elem:r_admin_contact; elem:r_admin_customer_info; elem:r_admin_price; elem:r_admin_reservation; elem:r_shop_bicycle; page:admin_price_simulation; page:bicycle_detail; page:legal; page:mypage,"キー共有: Bicycle, Price_menu"
Sub_Option,price_4hour_intax,a_hour_price_number,83,6,0,,api:bUoRI0; api:create_reservation_option; api:edit_bicycle; api:自転車詳細情報の変更; api:自転車詳細情報の変更_copy; elem:  r_shop_option; elem:bicycle_item; elem:r_admin_contact; elem:r_admin_customer_info; elem:r_admin_price; elem:r_admin_reservation; elem:r_shop_bicycle; page:admin_price_simulation; page:bicycle_detail; page:legal; page:mypage,"キー共有: Bicycle, Price_menu"
Sub_Option,price_7day_intax,7________number,18,2,0,,api:create_reservation_option; api:自転車詳細情報の変更_copy; elem:  r_shop_option; page:bicycle_detail; page:legal; page:mypage,
Sub_Option,quantity,max_number_number,6,2,0,,elem:  r_shop_option; elem:cart; page:bicycle_detail,
Sub_Option,shop,shop_custom_shop,199,4,40,,api:bulk_update_bicyle; api:cancel_reservation; api:create_bicycle; api:create_reservation_option; api:create_reserve_and_detail; api:edit_bicycle; api:自転車詳細情報の変更; api:自転車詳細情報の変更_copy; elem:  r_shop_option; elem:bicycle; elem:bicycle_item; elem:cart; elem:r_admin_reservation; elem:r_admin_sales; elem:r_shop_bicycle; elem:r_shop_info; elem:shop; elem:user_reservation_detail; page:bicycle_detail; page:index; page:search; page:shop_detail; page:user_reservation_list; privacy:Sub_Option; privacy:reservation; privacy:reservation_detail; privacy:sales_record,"キー共有: reservation, User, sales_record, shop_holiday, Bicycle, reservation_detail, Price_menu, notification"
Sub_Option,tax_ratio,tax_percent_number,7,6,0,,api:create_reservation_option; api:edit_bicycle; api:自転車詳細情報の変更; api:自転車詳細情報の変更_copy; elem:  r_shop_option; elem:r_admin_price; elem:r_admin_reservation; elem:r_shop_bicycle,"キー共有: Bicycle, Price_menu"
User,__archive,archive_boolean,9,2,10,,page:legal; page:mypage; privacy:User,
User,__business_address,business_address_text,2,1,0,,api:bulk_create_shop; api:change_shop_info; elem:r_shop_info,キー共有: shop
User,__business_hour,business_hour_text,11,1,0,,api:bulk_create_shop; api:cancel_reservation; api:change_shop_info; elem:cart; elem:r_shop_info; elem:shop; page:legal; page:mypage; page:shop_detail,キー共有: shop
User,__car_id,car_id_text,0,4,0,,page:legal; page:mypage,
User,__contact_mail,contact_mail_text,6,1,0,,api:bulk_create_shop; api:cancel_reservation; api:change_shop_info; elem:r_shop_info; elem:user_reservation_detail; page:legal; page:user_reservation_list,キー共有: shop
User,__HP,hp_text,1,0,0,,api:bulk_create_shop,
User,__image,image_image,21,3,0,,api:bulk_create_shop; api:change_shop_info; elem:r_admin_fv; elem:r_admin_topic; elem:r_shop_info; elem:shop; elem:topic; page:index; page:legal; page:mypage; page:shop_detail,"キー共有: FV, shop, Banner"
User,__pay.jp apply form url,pay_jp_apply_form_url_text,2,0,0,,api:bulk_create_shop; page:shop_form,キー共有: shop
User,__prefecture,prefecture_custom_prefecture,31,0,36,,api:bulk_create_shop; page:legal; page:mypage,
User,__reviewed_brand,reviewed_brand_option_brand_status,1,0,10,,api:bulk_create_shop; page:legal; page:mypage,
User,__shop_access,shop_access_text,1,0,0,,api:bulk_create_shop,
User,__shop_address,shop_address_text,29,0,0,,api:bulk_create_shop; page:legal; page:mypage,
User,__shop_comment,shop_comment_text,1,0,0,,api:bulk_create_shop,
